time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
30655.661,wf-tool-heavy-0056,agent-shared,AGENT_RECEIVE,,,,,,,,,,116,,,,,,,,116,1,,,,,,,
30655.661,wf-tool-heavy-0056,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.00146,CALL_TOOL,,,,agent-shared-infra-61,1.0416666666666667,,,,117,,0.0,,,,,,,,,,,
30656.703,wf-tool-heavy-0056,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-61,,,,,,,,,,,,,,,,,,
30656.703,wf-tool-heavy-0056,agent-shared,LLM_DISPATCH,36280.19708959377,,0.00146,CALL_TOOL,,,5623.494459173962,,,,0.0,0.0,117,,,,,,,,,,,,,
30748.121,wf-chat-light-0008,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,1537,6,,,,,,,
30748.121,wf-chat-light-0008,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
30748.121,wf-chat-light-0008,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,BUDGET_EXHAUSTED,,,,6,,,,0.015182500000000002,21222.966224042037,chat-light
31796.965,wf-chat-light-0016,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,93,,,,,,,,,,,,,
31796.965,wf-chat-light-0016,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,1,,,,9.625E-4,3318.0536345359833,chat-light
31881.940,wf-chat-light-0012,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,105,,,,,,,,,,,,,
31881.940,wf-chat-light-0012,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,4,,,,0.011870000000000002,16668.439469904275,chat-light
31913.980,wf-chat-light-0017,agent-shared,AGENT_RECEIVE,,,,,,,,,,78,,,,,,,,78,1,,,,,,,
31913.980,wf-chat-light-0017,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0017950000000000002,GENERATE_TEXT,,,,agent-shared-infra-62,1.0416666666666667,,,,160,,0.0,,,,,,,,,,,
31915.022,wf-chat-light-0017,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-62,,,,,,,,,,,,,,,,,,
31915.022,wf-chat-light-0017,agent-shared,LLM_DISPATCH,35236.62651665701,,0.0017950000000000002,GENERATE_TEXT,,,3321.604795671445,,,,0.0,0.0,160,,,,,,,,,,,,,
31975.819,wf-tool-heavy-0055,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,152,,,,,,,,,,,,,
31975.819,wf-tool-heavy-0055,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,2,,,,0.005475000000000001,9118.522714943323,tool-heavy
32241.929,wf-chat-light-0015,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,219,,,,,,,,search-tool,,,,,
32241.929,wf-chat-light-0015,agent-shared,TOOL_DISPATCH,32367.0394335805,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,125.11063148417264,,,
32367.039,wf-chat-light-0015,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,647,3,,,,,,,
32367.039,wf-chat-light-0015,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0033175,CALL_TOOL,,,,agent-shared-infra-63,1.0416666666666667,,,,170,,0.0,,,,,,,,,,,
32367.039,wf-chat-light-0015,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
32368.081,wf-chat-light-0015,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-63,,,,,,,,,,,,,,,,,,
32368.081,wf-chat-light-0015,agent-shared,LLM_DISPATCH,37243.410586833284,,0.0033175,CALL_TOOL,,,4875.329486586119,,,,0.0,0.0,170,,,,,,,,,,,,,
32651.035,wf-tool-heavy-0054,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,170,,,,,,,,,,,,,
32651.035,wf-tool-heavy-0054,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.008380000000000002,17310.908630487567,tool-heavy
32807.351,wf-chat-light-0018,agent-shared,AGENT_RECEIVE,,,,,,,,,,23,,,,,,,,23,1,,,,,,,
32807.351,wf-chat-light-0018,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0013375000000000001,GENERATE_TEXT,,,,agent-shared-infra-64,1.0416666666666667,,,,128,,0.0,,,,,,,,,,,
32808.393,wf-chat-light-0018,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-64,,,,,,,,,,,,,,,,,,
32808.393,wf-chat-light-0018,agent-shared,LLM_DISPATCH,35772.93424494194,,0.0013375000000000001,GENERATE_TEXT,,,2964.541674540963,,,,0.0,0.0,128,,,,,,,,,,,,,
33948.011,wf-chat-light-0019,agent-shared,AGENT_RECEIVE,,,,,,,,,,10,,,,,,,,10,1,,,,,,,
33948.011,wf-chat-light-0019,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.001025,CALL_TOOL,,,,agent-shared-infra-65,1.0416666666666667,,,,100,,0.0,,,,,,,,,,,
33949.052,wf-chat-light-0019,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-65,,,,,,,,,,,,,,,,,,
33949.052,wf-chat-light-0019,agent-shared,LLM_DISPATCH,36088.02391177263,,0.001025,CALL_TOOL,,,2138.971584642198,,,,0.0,0.0,100,,,,,,,,,,,,,
35214.082,wf-chat-light-0020,agent-shared,AGENT_RECEIVE,,,,,,,,,,17,,,,,,,,17,1,,,,,,,
35214.082,wf-chat-light-0020,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0021225000000000003,CALL_TOOL,,,,agent-shared-infra-66,1.0416666666666667,,,,208,,0.0,,,,,,,,,,,
35215.124,wf-chat-light-0020,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-66,,,,,,,,,,,,,,,,,,
35215.124,wf-chat-light-0020,agent-shared,LLM_DISPATCH,39739.67086168889,,0.0021225000000000003,CALL_TOOL,,,4524.547193868454,,,,0.0,0.0,208,,,,,,,,,,,,,
35236.627,wf-chat-light-0017,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,160,,,,,,,,,,,,,
35236.627,wf-chat-light-0017,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,1,,,,0.0017950000000000002,3322.6464623381144,chat-light
35772.934,wf-chat-light-0018,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,128,,,,,,,,,,,,,
35772.934,wf-chat-light-0018,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,1,,,,0.0013375000000000001,2965.5833412076245,chat-light
36088.024,wf-chat-light-0019,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,100,,,,,,,,search-tool,,,,,
36088.024,wf-chat-light-0019,agent-shared,TOOL_DISPATCH,36221.85632220276,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,133.83241043012546,,,
36221.856,wf-chat-light-0019,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,310,2,,,,,,,
36221.856,wf-chat-light-0019,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.002625,GENERATE_TEXT,,,,agent-shared-infra-67,1.0416666666666667,,,,185,,0.0,,,,,,,,,,,
36221.856,wf-chat-light-0019,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
36222.898,wf-chat-light-0019,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-67,,,,,,,,,,,,,,,,,,
36222.898,wf-chat-light-0019,agent-shared,LLM_DISPATCH,40516.81845327249,,0.002625,GENERATE_TEXT,,,4293.920464403066,,,,0.0,0.0,185,,,,,,,,,,,,,
36280.197,wf-tool-heavy-0056,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,117,,,,,,,,search-tool,,,,,
36280.197,wf-tool-heavy-0056,agent-shared,TOOL_DISPATCH,36490.418775688704,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,210.2216860949351,,,
36490.419,wf-tool-heavy-0056,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,416,2,,,,,,,
36490.419,wf-tool-heavy-0056,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.00247,GENERATE_TEXT,,,,agent-shared-infra-68,1.0416666666666667,,,,143,,0.0,,,,,,,,,,,
36490.419,wf-tool-heavy-0056,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
36491.460,wf-tool-heavy-0056,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-68,,,,,,,,,,,,,,,,,,
